sentiment,category,source,title,description,content,url,publishedAt
,,The Jerusalem Post,Netanyahu: Top goal is preventing nuclear weapons from Iran,Prime Minister Benjamin Netanyahu addressed Israel's strike on Iran while speaking at an IDF officers' course,"Prime Minister Benjamin Netanyahu addressed Israel's strike on Iran while speaking at an IDF officers' course closing ceremony on Thursday.  ""Israel has more freedom of action in Iran than it ever ha… [+94 chars]",https://www.jpost.com/breaking-news/article-827034,2024-10-31T15:31:17Z
,,The Jerusalem Post,"Illouz digs in on haredi draft, defying Netanyahu",PM Netanyahu reportedly criticized Illouz for voicing his opposition to the gov's new initiative to incentivize haredim not to enlist in the IDF.,"MK Dan Illouz (Likud) repeated in a post on X that he would not support government initiatives to incentivize haredim not to enlist in IDF service.  ""I am right to sacrifice everything that is requir… [+1230 chars]",https://www.jpost.com/israel-news/article-826987,2024-10-31T12:04:00Z
,,The Jerusalem Post,"'We're still in the eye of the storm,' Netanyahu says amid Lebanon ceasefire deal hopes",Netanyahu spoke on a day that seven civilians were killed in the north by Hezbollah fire and a month into Israel’s revved-up military campaign.,"Israel is “still in the eye of the storm,” Prime Minister Benjamin Netanyahu said amid increased hope that a ceasefire deal with Hezbollah in the north might soon be in reach.  “There are still great… [+2486 chars]",https://www.jpost.com/israel-news/article-827057,2024-10-31T17:45:29Z
,,The Jerusalem Post,Sara Netanyahu demands air force send two F-35 fighter jets to accompany PM's plane,"The drone launch toward Netanyahu’s home in Caesarea in mid-October again raised the alert level around Netanyahu. Consequently, security was increased around the prime minister, and his family.",In light of the Israeli Air Force's decision in September to dispatch two F-35 jets to escort Prime Minister Benjamin Netanyahu’s plane for part of its return flight from the UN General Assembly in N… [+4539 chars],https://www.jpost.com/israel-news/article-826911,2024-10-31T01:07:43Z
,,The Jerusalem Post,Netanyahu extends congratulations to new leader of UK Conservative Party,"Prime Minister Benjamin Netanyahu extended his congratulations on Sunday to Kemi Badenoch, who was voted in as","Prime Minister Benjamin Netanyahu extended his congratulations on Sunday to Kemi Badenoch, who was voted in as the new leader of the UK Conservative Party on Saturday.   I send my heart felt congratu… [+358 chars]",https://www.jpost.com/breaking-news/article-827340,2024-11-03T11:32:55Z
,,The Jerusalem Post,Netanyahu joins request to lift gag order over reports about his office,Prime Minister Benjamin Netanyahu asked the attorney-general to join the request to lift the gag order over re,"Prime Minister Benjamin Netanyahu asked the attorney-general to join the request to lift the gag order over reports regarding the Prime Minister's Office, the office said on Sunday.   On Thursday, th… [+227 chars]",https://www.jpost.com/breaking-news/article-827330,2024-11-03T09:48:57Z
,,The Jerusalem Post,Netanyahu: With or without an agreement we will keep Hezbollah beyond the Litani river,"Prime Minister Benjamin Netanyahu said that with or without an agreement, Israel must keep Hezbollah beyond th","Prime Minister Benjamin Netanyahu said that with or without an agreement, Israel must keep Hezbollah beyond the Litani River, as designated in UN resolution 1701, during a visit to the Lebanese borde… [+40 chars]",https://www.jpost.com/breaking-news/article-827371,2024-11-03T16:26:27Z
,,The Jerusalem Post,"Lapid: 'If Netanyahu didn’t know about leaked info, what does he know?'","“If Netanyahu knew, he is complicit in one of the most serious security breaches in the law book,"" Lapid said.","Prime Minister Benjamin Netanyahu is either complicit in leaking classified information in an attempt to thwart the hostage deal, or he is completely incompetent to lead the country, Opposition leade… [+1512 chars]",https://www.jpost.com/breaking-news/article-827392,2024-11-03T18:55:23Z
,,The Jerusalem Post,Netanyahu aide Eliezer Feldstein named as suspect in PMO leaked document case,"Feldstein was hired by the prime minister's office media team soon after the war began, but his employment status remained unclear.","A court ruled on Sunday that the gag order in the ongoing case regarding leaks of classified documents will remain in place. However, the ruling revealed new details about the case, in which a number… [+4594 chars]",https://www.jpost.com/breaking-news/article-827387,2024-11-03T18:35:26Z
,,BBC News,"Netanyahu aide leaks may have torpedoed hostage deal, court says",A top Netanyahu aide was among those arrested and investigated over leaked and falsified documents.,"Attempts to secure a peace deal in Gaza and secure the release of hostages held by Hamas may have been compromised by leaked and falsified documents involving a close aide to the prime minister, an I… [+4377 chars]",https://www.bbc.com/news/articles/cd9n02xxexko,2024-11-04T12:25:10Z
,,The Jerusalem Post,Netanyahu vs. Jabotinsky: lessons Israel’s Prime Minister needs to remember,Jabotinsky believed there would be no peace with the Palestinians unless imposed on them by force because no colonized nation would accept to remain colonized forever. Netanyahu must remember this.,"Precisely 101 years ago, on November 4, 1923, Ze'ev Jabotinsky published his article “The Iron Wall,” in which he addressed the question of ""colonizing Palestine"" and concluded that an agreement with… [+9216 chars]",https://www.jpost.com/opinion/article-827578,2024-11-04T21:41:53Z
,,The Jerusalem Post,"Netanyahu, Lapid to meet on Monday for security briefing",Prime Minister Benjamin Netanyahu and Opposition head Yair Lapid are set to meet on Monday for a security brie,"Prime Minister Benjamin Netanyahu and Opposition head Yair Lapid are set to meet on Monday for a security briefing, Walla reported.",https://www.jpost.com/breaking-news/article-827470,2024-11-04T08:48:19Z
,,The Jerusalem Post,Netanyahu pens letter to AG requesting to investigate leaks of classified discussions,Prime Minister Netanyahu addressed a letter to Attorney General Gali Baharav Miara demanding an investigation,"Prime Minister Netanyahu addressed a letter to Attorney General Gali Baharav Miara demanding an investigation into leaks from security discussions, the prime minister's office announced Monday.   ""Th… [+190 chars]",https://www.jpost.com/breaking-news/article-827551,2024-11-04T18:28:02Z
,,BBC News,Israel PM Netanyahu fires defence minister Gallant,"Netanyahu says trust between him Gallant has ""eroded"" in recent months.","Israel's Prime Minister Benjamin Netanyahu has fired defence minister Yoav Gallant, saying there is a ""crisis of trust"" between them.  Netanyahu said in a statement that his trust in Gallant had ""ero… [+1458 chars]",https://www.bbc.com/news/articles/cqj07jdzzgno,2024-11-05T18:32:39Z
,,Sky.com,Netanyahu sacks defence minister Gallant over 'crisis of trust',Israeli Prime Minister Benjamin Netanyahu has fired his defence minister Yoav Gallant.,Israeli Prime Minister Benjamin Netanyahu has fired his defence minister Yoav Gallant.  The move comes 14 months into the Middle East war sparked by the Hamas attack on Israel on 7 October 2023.  Mr … [+2290 chars],https://news.sky.com/story/israeli-prime-minister-benjamin-netanyahu-sacks-defence-minister-yoav-gallant-13248970,2024-11-05T18:02:00Z
,,The Jerusalem Post,Israeli politicians react to PM Netanyahu firing Defense Minister Gallant,"Head of The Democrats party, Yair Golan, called for protests, saying, ""Take to the streets.""","""The security of the State of Israel was and will always remain the mission of my life,"" Defense Minister Yoav Gallant posted on X/Twitter on Tuesday after Prime Minister Benjamin Netanyahu fired him… [+3783 chars]",https://www.jpost.com/israel-news/article-827721,2024-11-05T18:38:47Z
,,The Jerusalem Post,Netanyahu instructs to remove daycare bill from Knesset's Wednesday agenda,Prime Minister Benjamin Netanyahu instructed Coalition Chairman Ofir Katz to remove the daycare bill from the,"Prime Minister Benjamin Netanyahu instructed Coalition Chairman Ofir Katz to remove the daycare bill from the Knesset's Wednesday agenda, the Prime Minister's Office announced Tuesday.   The United T… [+87 chars]",https://www.jpost.com/breaking-news/article-827714,2024-11-05T17:47:34Z
,,The Jerusalem Post,Netanyahu fires Defense Minister Yoav Gallant on day of US elections,FM Israel Katz has been offered the defense minister role • Gideon Sa'ar offered to join government as new foreign minister,"Prime Minister Benjamin Netanyahu announced on Tuesday evening that he was removing Defense Minister Yoav Gallant from his position and replacing him with Israel Katz, citing a ""crisis of trust"" that… [+2785 chars]",https://www.jpost.com/breaking-news/article-827716,2024-11-05T18:00:32Z
,,The Jerusalem Post,"Why did Netanyahu fire Gallant, and what does it mean for Israel’s strategy in Gaza?","Tensions between Netanyahu and Gallant have been mounting for months, highlighting rifts within Israel’s government over military tactics and diplomatic alternatives.","Who is Yoav Gallant?  Yoav Gallant, recently dismissed as Israel’s Defense Minister, is a former general recognized for his practical, no-nonsense approach to security. Gallant built public respect f… [+3011 chars]",https://www.jpost.com/israel-news/politics-and-diplomacy/article-827744,2024-11-05T20:40:21Z
,,The Jerusalem Post,"Netanyahu speaks with IDF chief, Shin Bet and Mossad heads after Gallant's firing","Prime Minister Benjamin Netanyahu spoke with IDF Chief of Staff Herzi Halevi, Shin Bet chief Ronen Bar, and Mo","Prime Minister Benjamin Netanyahu spoke with IDF Chief of Staff Herzi Halevi, Shin Bet chief Ronen Bar, and Mossad head David Barnea on Tuesday evening, the Prime Minister's Office (PMO) announced.  … [+102 chars]",https://www.jpost.com/breaking-news/article-827748,2024-11-05T21:39:24Z
,,The Jerusalem Post,"Netanyahu denies reports he intends to fire IDF chief of staff, Shin Bet head","""Reports claiming that the Prime Minister intends to dismiss senior security officials are false and are inten","""Reports claiming that the Prime Minister intends to dismiss senior security officials are false and are intended to sow division and discord,"" the Prime Minister's Office (PMO) said in a statement f… [+207 chars]",https://www.jpost.com/breaking-news/article-827735,2024-11-05T19:42:47Z
,,DW (English),Israel: PM Netanyahu dismisses Defense Minister Gallant,"The Israeli prime minister said that trust in Gallant has ""eroded"" during the past year of war. Gallant has been replaced by Foreign Minister Israel Katz, who in turn will be replaced by Gideon Saar. Israeli Prime Minister Benjamin Netanyahu has dismissed Def…","Israeli Prime Minister Benjamin Netanyahu has dismissed Defense Minister Yoav Gallant on Tuesday, following months of tension over the war in Gaza.  ""Over the past few months that trust has eroded. I… [+1739 chars]",https://www.dw.com/en/israel-pm-netanyahu-dismisses-defense-minister-gallant/a-70702681,2024-11-05T18:25:00Z
,,The Jerusalem Post,A prime minister’s toxic agenda: How Netanyahu weakens Israel from within,"Gideon Sa’ar may not become Prime Minister after the shady affair of Gallant’s dismissal, but he’ll be remembered as the one who sold his soul for draft dodgers.","Yoav Gallant appears to be just the first to go. Next on the line: the IDF Chief of Staff and the head of the Shin Bet. Netanyahu wants Israel’s security apparatus to be molded in his image, an exten… [+6092 chars]",https://www.jpost.com/israel-news/politics-and-diplomacy/article-827746,2024-11-05T20:57:13Z
,,The Jerusalem Post,What’s an IDF soldier in Gaza supposed to think as Netanyahu fires his defense minister mid-war?,"Amid war on multiple fronts, fractured leadership rattles Israeli society and soldiers serving on the front lines.","Imagine this: a soldier, rifle in hand, boots sinking into Gaza’s dust, eyes scanning the horizon for threats. He’s a young guy—maybe 19, maybe 20—who’s already seen more in a month than most people … [+3091 chars]",https://www.jpost.com/israel-news/article-827753,2024-11-05T22:40:55Z
,,The Jerusalem Post,Extortion by dismissal: Netanyahu sacrifices Gallant on altar of coalition politics,The decision to dismiss Gallant on the evening of the US elections shows a calculated move by the Prime Minister to ensure he would get away with it.,"Wrapped in awkward and flimsy excuses about mistrust, the revenge of March 2023 was completed tonight in Jerusalem. Prime Minister Benjamin Netanyahu sent the dismissal letter to Defense Minister Yoa… [+3994 chars]",https://www.jpost.com/opinion/article-827729,2024-11-05T18:57:47Z
,,The Week Magazine,"Netanyahu fires defense minister, sparking protests","Yoav Gallant and Netanyahu have clashed for years. The Israeli prime minister first tried to fire the defense minister in 2023, but backed off following a public outcry.","What happened  Israeli Prime Minister Benjamin Netanyahu dismissed Defense Minister Yoav Gallant Tuesday, sidelining a popular rival as Israel fights grinding wars in Gaza and Lebanon. Gallant's firi… [+2244 chars]",https://theweek.com/politics/netanyahu-fires-yoav-gallant-israel,2024-11-06T17:02:00Z
,,BBC News,Netanyahu and Starmer lead congratulations to Trump,"Hungary's prime minister hails a ""much-needed victory for the world"", and France's president said it would work with him ""with respect and ambition"".",Israeli Prime Minister Benjamin Netanyahu and the UK's Keir Starmer have been among the first world leaders to congratulate Donald Trump - as he appears to be on the verge of winning the US president… [+3797 chars],https://www.bbc.com/news/articles/cly2z812zxvo,2024-11-06T09:31:49Z
,,Sky.com,Thousands join street protests after Israeli defence minister sacked by Netanyahu,"Police in Tel Aviv have used water cannon on protesters demonstrating against the decision to sack Israel's defence minister, Yoav Gallant.","Police in Tel Aviv have used water cannon on protesters demonstrating against the decision to sack Israel's defence minister, Yoav Gallant.  He was dismissed on Tuesday by Prime Minister Benjamin Net… [+1630 chars]",https://news.sky.com/story/thousands-join-street-protests-after-israeli-defence-minister-sacked-by-netanyahu-13249181,2024-11-06T02:19:00Z
,,The Jerusalem Post,Netanyahu calls Trump to congratulate him on projected election win,Prime Minister Benjamin Netanyahu called President-elect Donald Trump to congratulate him on his projected ele,"Prime Minister Benjamin Netanyahu called President-elect Donald Trump to congratulate him on his projected election win, Israeli media reported.   The call reportedly lasted 20 minutes.",https://www.jpost.com/breaking-news/article-827881,2024-11-06T16:31:33Z
,,The Jerusalem Post,"Sa'ar, Netanyahu sign coalition agreement","The agreement states that Sa'ar will become foreign minister, and MK Ze'ev Elkin will become a minister responsible for rehabilitating the North and South.","Prime Minister Benjamin Netanyahu and United Right chairman and foreign minister-elect MK Gideon Sa'ar signed a coalition agreement on Wednesday morning, officially cementing Sa'ar's entry into the c… [+1885 chars]",https://www.jpost.com/israel-news/article-827801,2024-11-06T09:42:09Z
,,The Jerusalem Post,"Gallant meets with IDF General Staff, after Netanyahu firing","""We have shifted the balance of power in the Middle East—from Gaza to Tehran, from Hodeidah to the Dahiyeh,"" Gallant said.","Outgoing Defense Minister Yoav Gallant met on Wednesday with the IDF General Staff, his office said, after he was fired by Prime Minister Benjamin Netanyahu on Tuesday.   ""We have shifted the balance… [+1705 chars]",https://www.jpost.com/israel-news/article-827914,2024-11-06T19:45:10Z
,,The Jerusalem Post,Opposition party leaders attack Netanyahu over Yoav Gallant's dismissal,"Lapid criticized the silence of “spineless” Likud MKs, calling their inaction “a disgrace remembered forever.”","Opposition Leader Yair Lapid condemned the firing of Defense Minister Yoav Gallant, accusing Prime Minister Benjamin Netanyahu of prioritizing draft exemption laws over national security. “Gallant wa… [+3359 chars]",https://www.jpost.com/israel-news/politics-and-diplomacy/article-827809,2024-11-06T10:28:38Z
,,The Jerusalem Post,Benjamin Netanyahu calls Donald Trump's election victory 'history’s greatest comeback',"""Your historic return to the White House offers a new beginning for America and a powerful recommitment to the great alliance between Israel and America,"" Netanyahu continued.","Israeli members of Knesset congratulated Donald Trump on Wednesday's election victory on social media.  Prime Minister Benjamin Netanyahu immediately wrote to the President-elect, stating, ""Congratul… [+3287 chars]",https://www.jpost.com/israel-news/politics-and-diplomacy/article-827780,2024-11-06T08:05:38Z
,,The Jerusalem Post,Netanyahu extends Washington ambassador Michael Herzog’s term until January,"Herzog, the 69-year-old brother of President Isaac Herzog, is a retired Brig.-Gen., former military secretary, and head of staff for defense ministers Shaul Mofaz and Ehud Barak.","Prime Minister Benjamin Netanyahu asked Ambassador Michael (Mike) Herzog to extend his term as Israel's Ambassador to Washington until January 20, 2025.  Herzog served as Israel's Ambassador to Washi… [+2037 chars]",https://www.jpost.com/breaking-news/article-828053,2024-11-07T16:12:24Z
,,BBC News,No guarantees Trump will give Netanyahu all he wants,"Trump's win has been welcomed by Israel but it's unclear what he will deliver, writes Lucy Williamson.","The bar facing the US consulate in Jerusalem is called Deja Bu - a witty reference to something youve drunk before.  And outside the gates of the US compound, Israel is eager for a second round of Do… [+4748 chars]",https://www.bbc.com/news/articles/cq6lm62vm7zo,2024-11-08T05:55:31Z
,,The Jerusalem Post,"Gallant is the man for the job! Netanyahu, we deserve better","A true leader would find a way to bridge those gaps, would see the fractures in the society they are charged with leading and protecting, and tend to them - What we have seen is the opposite.",Prime Minister Benjamin Netanyahu’s announcement on Tuesday evening that he has found a “crisis of trust” that “gradually deepened” with Defense Minister Yoav Gallant on the eve of US elections and a… [+4400 chars],https://www.jpost.com/opinion/article-828065,2024-11-08T03:55:01Z
,,The Jerusalem Post,Netanyahu appoints Dr. Yechiel Leiter as Israel's next US Ambassador,Leiter was Netanyahu's chief of staff at the Finance Ministry in the past and will step into his role on January 10.,"Prime Minister Benjamin Netanyahu has appointed Dr. Yechiel Leiter as Israel's next United States Ambassador, the Prime Minister's Office (PMO) announced on Friday.   Leiter was Netanyahu's chief of … [+902 chars]",https://www.jpost.com/breaking-news/article-828172,2024-11-08T12:30:10Z
,,The Jerusalem Post,"With Trump and Netanyahu achieving political strongholds, what happens now?","This time, Netanyahu wanted to make things right, hinting not only through his words but also through actions that he is eager to stay in Trump’s good graces.Prime Minister Benjamin Netanyahu’s decision to fire defense minister Yoav Gallant on Tuesday evening…","Prime Minister Benjamin Netanyahu’s decision to fire defense minister Yoav Gallant on Tuesday evening might not be the triumphant return of a leader after a sweeping electoral win, but in its own way… [+5110 chars]",https://www.jpost.com/opinion/article-828081,2024-11-08T08:10:35Z
,,Fortune,"Netanyahu says he’s talked to Trump 3 times since the election as Israel strikes Lebanon, Gaza",Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza.,"Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza, as the world watched for signs of how the U.S. election might affect the wars between Israe… [+5807 chars]",https://fortune.com/2024/11/10/netanyahu-donald-trump-calls-election-israel-iran-lebanon-gaza/,2024-11-10T23:50:20Z
,,Sky.com,Netanyahu says he and Trump 'see eye to eye' on Iran,"Benjamin Netanyahu says he and Donald Trump ""see eye to eye"" on Iran.","Benjamin Netanyahu says he and Donald Trump ""see eye to eye"" on Iran.  Israel's prime minister said he has spoken to the US president-elect three times since the election with the aim of tightening t… [+2221 chars]",https://news.sky.com/story/benjamin-netanyahu-says-he-and-donald-trump-see-eye-to-eye-on-iran-13252154,2024-11-10T16:14:00Z
,,The Jerusalem Post,Prime Minister Benjamin Netanyahu requests to postpone his court testimony,Prime Minister Benjamin Netanyahu requested the Jerusalem District Court postpone his testimony by two and a h,"Prime Minister Benjamin Netanyahu requested the Jerusalem District Court postpone his testimony by two and a half months.  Recently, sources close to Netanyahu have claimed that his testimony cannot … [+187 chars]",https://www.jpost.com/breaking-news/article-828480,2024-11-10T23:19:40Z
,,The Jerusalem Post,"ICC's Khan defends warrants against Netanyahu, Gallant amid war","“We have failed to live up to the promise of Never Again that was made in Nuremberg,” ICC Chief Prosecutor Karim Khan told reporters in the German city.",ICC Chief Prosecutor Karim Khan defended his decision to pursue warrants against Prime Minister Benjamin Netanyahu and other members of Israeli leadership in an interview with German paper Der Spiege… [+9073 chars],https://www.jpost.com/international/article-828342,2024-11-10T09:51:24Z
,,The Jerusalem Post,Netanyahu and Trump spoke together three times in recent days,"Prime Minister Benjamin Netanyahu spoke with President-elect Donald Trump three times in recent days, he said","Prime Minister Benjamin Netanyahu spoke with President-elect Donald Trump three times in recent days, he said during a cabinet meeting on Sunday.   Netanyahu said, ""We see eye to eye on the Iranian t… [+6 chars]",https://www.jpost.com/breaking-news/article-828400,2024-11-10T13:48:06Z
,,The Jerusalem Post,Prime Minister Benjamin Netanyahu takes responsibility for beeper attack in Lebanon - report,"Prime Minister Benjamin Netanyahu on Sunday reportedly ""took responsibility"" for the beeper attack in Lebanon","Prime Minister Benjamin Netanyahu on Sunday reportedly ""took responsibility"" for the beeper attack in Lebanon during a government meeting, Israeli media reported.   During the meeting, Netanyahu repo… [+124 chars]",https://www.jpost.com/breaking-news/article-828396,2024-11-10T13:17:39Z
,,The Jerusalem Post,Netanyahu calls ongoing investigation into PMO leak case 'a wild and relentless attack',"Prime Minister Benjamin Netanyahu said that his office is under ""a wild and relentless attack"" in a statement","Prime Minister Benjamin Netanyahu said that his office is under ""a wild and relentless attack"" in a statement issued by the Prime Minister's Office on Sunday due to the ongoing leaked documents case,… [+297 chars]",https://www.jpost.com/breaking-news/article-828433,2024-11-10T16:46:13Z
,,Biztoc.com,Netanyahu confirms Israel was behind pager blasts in Lebanon,"Israeli Prime Minister Benjamin Netanyahu confirmed on Sunday that his country was behind explosions of pagers and other communication devices used by Hezbollah in September, which killed dozens of pe...","Israeli Prime Minister Benjamin Netanyahu confirmed on Sunday that his country was behind explosions of pagers and other communication devices used by Hezbollah in September, which killed dozens of p… [+69 chars]",https://biztoc.com/x/8cf1c4759d3e22b9,2024-11-10T17:26:09Z
,,Biztoc.com,Netanyahu claims his office is target of ‘organised witch hunt’,Israeli PM says mounting scandals are designed to harm country’s leadership in middle of war,"Israeli PM says mounting scandals are designed to harm countrys leadership in middle of war  This story appeared on ft.com, 2024-11-10 21:18:44.",https://biztoc.com/x/baf61fe15f7396bb,2024-11-10T21:25:23Z
,,Biztoc.com,Netanyahu says he spoke to Trump 3 times since elections,"Israeli Prime Minister Benjamin Netanyahu revealed on Sunday that he spoke with United States President-elect Donald Trump three times since he won the presidential election.""We see eye-to-eye on the ...","Israeli Prime Minister Benjamin Netanyahu revealed on Sunday that he spoke with United States President-elect Donald Trump three times since he won the presidential election.""We see eye-to-eye on the… [+69 chars]",https://biztoc.com/x/051d413f2e7cbb14,2024-11-10T14:53:22Z
,,Biztoc.com,Israeli strikes kill dozens in Lebanon and northern Gaza as Netanyahu speaks with Trump,"Israeli Prime Minister Benjamin Netanyahu said that he has spoken three times with Donald Trump since Tuesday's election and they ""see eye-to-eye regarding the Iranian threat and all of its components.""","Israeli Prime Minister Benjamin Netanyahu said that he has spoken three times with Donald Trump since Tuesday's election and they ""see eye-to-eye regarding the Iranian threat and all of its component… [+56 chars]",https://biztoc.com/x/d5a1f5a5eb07a431,2024-11-10T21:35:47Z
,,Biztoc.com,Netanyahu says he spoke three times with Trump in recent days,"Israeli Prime Minister Benjamin Netanyahu said on Sunday that he has spoken three times with President-elect Trump in recent days. Netanyahu is also sending Minister of Strategic Affairs Ron Dermer to Mar-a-Lago this week, a senior Israeli official told Axios…",Israeli Prime Minister Benjamin Netanyahu said on Sunday that he has spoken three times with President-elect Trump in recent days. Netanyahu is also sending Minister of Strategic Affairs Ron Dermer t… [+136 chars],https://biztoc.com/x/f0e946f72b0fd57f,2024-11-10T15:26:17Z
,,NPR,Former Israeli defense minister blames Netanyahu in a meeting with families of hostages,A hostage relative tells NPR that now-former Israeli defense minister Yoav Gallant said a deal could have been reached already,A hostage relative tells NPR that now-former Israeli defense minister Yoav Gallant said a deal could have been reached already,https://www.npr.org/2024/11/10/nx-s1-5184473/former-israeli-defense-minister-blames-netanyahu-in-a-meeting-with-families-of-hostages,2024-11-10T13:34:04Z
,,Richmond.com,Israeli strikes kill dozens in Lebanon and isolated northern Gaza while Netanyahu and Trump speak,New Israeli strikes killed dozens of people Sunday including children in Lebanon and northern Gaza.,"DEIR AL-BALAH, Gaza Strip Israeli strikes killed dozens of people including children on Sunday in Lebanon and isolated northern Gaza, as the world watched for signs of how the U.S. election might aff… [+8477 chars]",https://richmond.com/news/nation-world/israel-war-middle-east-iran-hamas-hezbollah-benjamin-netanyahu-donald-trump/article_918e9728-236c-5412-bfa8-f9787280ceef.html,2024-11-10T22:46:00Z
,,Freerepublic.com,"Nextrush Unplugged Weekend*""The Liberal Capitalists Whipped The...Who Are Ultimately Jew Haters""*Is Netanyahu ""Trumped""?*Hierarchy Behind Elections In A Sinful World*Light At The End Of The Ukraine Tunnel*Geert Wilders And The Jew Hunt In Amsterdam*","The first song this week was something I heard because Jimmy Buffett's music... ""The Liberal Capitalists whipped The..."" Not that people but the election came out this way... October 7th, 2023 changed a lot in this world... Here's something to think about is …","Skip to comments.  Nextrush Unplugged Weekend*""The Liberal Capitalists Whipped The...Who Are Ultimately Jew Haters""*Is Netanyahu ""Trumped""?*Hierarchy Behind Elections In A Sinful World*Light At The E… [+2614 chars]",https://freerepublic.com/focus/f-bloggers/4277345/posts,2024-11-10T05:20:20Z
